,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3,LogReturn,Cost_of_Equity
XOM,1.0,1.0,0.3789306391190827,1.0,1.0,0.36867650781734224,0.5035322666031729,0.4288431323906392,0.5073503047687342,0.48135874067937034,0.14707353676838422,0.003745909962766558,0.18581848877729915,0.02003186888231277,0.055709342560553626,0.019888129272840272,0.03520221533398951,0.32908604687745796,0.8034147282861651,0.0037139635847911155,0.1316725978647687,0.15653298835705048,0.2322119678475737,0.02263051758906565,0.03849916837882789,0.04073403829474948,0.4231815571979701,2.267791366418807
AES,0.04822670069523893,0.031598375784422296,0.028502318433071074,0.03240930029710797,0.09686128923388458,0.008371670755021694,0.08133458632332716,0.4335566029934673,0.24811760487629975,0.2951532725766363,0.35117558779389696,0.01974500733385987,0.0347611523560096,0.058046892783974506,0.053633217993079574,0.01444996892479801,0.004341055662470068,0.20685858109170996,0.8185244468662375,0.0016733242524883047,0.08185053380782914,0.02802932298404485,0.09097945817207503,0.019493614160878334,0.041140788572546716,0.005508206017746347,0.4278000004226601,1.5042550865797615
BXP,0.025766493590307728,0.027168696936138798,0.017080433472759504,0.005587810396053099,0.07841151985600181,0.004958403533735478,0.016748187006223582,0.545439510460597,0.19576909286482608,0.5534382767191384,0.3051525762881441,0.002685320997404942,0.03631956018268002,0.1684498065103574,0.1397923875432526,0.06665630826600373,0.017588253441259864,0.25216296995438103,0.8106119946871914,0.005091395134095512,0.16014234875444838,0.1686071582578698,0.19883894016076215,0.06744342370602734,0.09436454358673318,0.021273934218426844,0.2103640631423747,2.704097812041118
CBRE,0.017902402534541936,0.061646363971945374,0.021839552206222655,0.08109139477199007,0.07717403532455845,0.018550365333077266,0.03494398273508127,0.3092698255188952,0.21692362854069558,0.36412593206296606,0.279639819909955,0.006092745120162474,0.20547174303586496,0.014568631914409286,0.06920415224913494,0.014916096954630205,0.02631810903321532,0.2406795658329401,0.8199888748878974,0.00207635052061811,0.23131672597864772,0.10832255282449332,0.16362012503721346,0.014564194488012546,0.07548185109089128,0.02784125025018347,0.41708250722931917,3.7948639260968973
FRT,0.014029745665757286,0.018165965300849022,0.007003327016949448,0.0,0.0656665541680729,0.0032997826333662156,0.007143056164178841,0.5658645497395188,0.2090354965937612,0.696665285832643,0.3091545772886443,0.005641430666817105,0.02235882340209086,0.2606419303437286,0.1671280276816609,0.01336233685518956,0.03185277137106844,0.2501179801793299,0.8151528567698577,0.0005611758163832729,0.17437722419928825,0.1858559724018974,0.1842810360226258,0.16401523638807974,0.17121612366696015,0.03717309360197478,0.2998272093873216,2.922251034852274
HST,0.027398867669922854,0.024067921742340348,0.010880480627330439,0.011202878403794258,0.0753740578242772,0.007516171553778601,0.08593324535384726,0.4214835028528901,0.2681964861957691,0.4952361226180614,0.42821410705352675,0.003226898341419384,0.008463020280946297,0.06806282722513088,0.046366782006920404,0.04738968303293971,0.002989525642344023,0.22172408368727392,0.8097151744258647,0.00035201028482223485,0.2135231316725979,0.02544200086244071,0.11289074129205122,0.051982971095675554,0.08365130613442912,0.002472646607512176,0.2831858073431719,3.5221723975829526
KIM,0.016634222183108924,0.021631598375784423,0.012286385427491112,0.00500449750592853,0.06905309933625829,0.007009855699981669,0.027153492118574735,0.452691639791615,0.1724632484761563,0.4661764705882354,0.4631315657828914,0.0018503892587160109,0.014094933010108005,0.23719553835647622,0.20622837370242214,0.016314481044126788,0.0038342319049228,0.2233758061978921,0.816333480911351,0.0012427493533724117,0.18434163701067613,0.08995256576110396,0.1523012801428997,0.15438046157293298,0.15194208003130807,0.003748582293682033,0.38912207300479423,3.0749582908200823
REG,0.015885182903575934,0.019602436323366557,0.008994297789847797,0.00046337939869708607,0.06717909776127799,0.005909928155526264,0.01834144315064503,0.6139088729016786,0.20939404804589457,0.6460231980115991,0.3046523261630815,0.0031140697280830423,0.008874266790762102,0.270657864784885,0.18685121107266436,0.010876320696084525,0.019145451073144217,0.23053327041057106,0.8180022477267309,0.0001581495482534678,0.1672597864768683,0.11168607158257872,0.1899672521583805,0.19964149675106427,0.1381469523529987,0.02110714523984255,0.35252099639432677,2.8131744234466955
SPG,0.0617207896975564,0.044444444444444446,0.053389453094300404,0.011557227355739089,0.10158623017212284,0.0319066283728929,0.03796078411505893,0.6865955511452907,0.2785944783076371,0.7550745650372825,0.304152076038019,0.030170371206137876,0.02798640722062292,0.2733894832688368,0.5470588235294117,0.004195152268489745,0.0387646721805174,0.26490482932200726,0.8142560365085312,0.00174984822744966,0.298932384341637,0.31867184131090986,0.11116403691574875,0.16737620434685188,0.0905488699735838,0.04326923076923077,0.27619291125766876,4.8310917344498865
VICI,0.035906010736601254,0.032115171650055375,0.03837858134600103,0.006078447406438247,0.09067386657666779,0.02408492139009891,0.12484896995610315,1.0,0.2660451774829688,1.0,0.4457228614307154,0.001963217872052353,0.0,0.32916002731618477,0.08871972318339101,1.0,0.008267103465499257,0.22424099417964452,0.816912440826891,0.00032140069483769265,0.08540925266903915,0.06683915480810695,0.1542721047930932,0.2072596907909478,0.041776734174738275,0.00883981586496764,0.459907396343032,1.5587933922825512
VTR,0.021971897092903873,0.02613510520487265,0.023568553140581747,0.00834082917654755,0.07616154798065025,0.013059457194486396,0.04738353905503953,0.3948565285702472,0.155252778773754,0.3187655343827672,0.31115557778889447,0.0032945955094211892,0.015237765416332977,0.165490553152743,0.11882352941176469,0.0034182722187694214,0.013765039444109823,0.21173509517067804,0.8204543132513707,0.0001326415565996827,0.18505338078291816,0.07718844329452351,0.1586484072640667,0.10015684517140935,0.1978377849525486,0.014448095269864566,0.3138241412721683,3.085865951960641
WELL,0.026518818387163016,0.029752676264304175,0.04567007518534366,0.013819609125848393,0.08437394532568343,0.033626356359065246,0.06256506640255935,0.40593731911022907,0.15704553603442092,0.35553024026512015,0.3676838419209605,0.0034976870134266046,0.020237657193567238,0.20168449806510355,0.08996539792387542,0.041485394655065254,0.025848011634910607,0.21495988673902788,0.8281056658606636,0.002117163307264166,0.1245551601423488,0.10478654592496767,0.20842512652575174,0.143849428635447,0.5305253889051951,0.025685502701981455,0.40121384768390106,2.15871475501323
