,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3
APA,4.39,7.64,18.21,10.22,6.14,12.42,0.28989,0.4621,0.2299,0.19890000000000002,-0.272,27.97,31.62,1.75,,1.11,35.31,6.37,3.12,0.5,3.52,1.0,1.44,1.25,7.36,39.67
BKR,2.82,4.43,39.95,23.3,3.34,36.12,0.9630299999999999,0.09820000000000001,0.0409,0.049400000000000006,0.251,2.39,23.14,1.71,,1.28,31.8,1.15,12.61,3.81,1.51,0.8,14.99,1.55,22.37,29.86
COP,28.65,39.6,150.01,77.7,32.63,142.04,1.21,0.3207,0.1686,0.2039,-0.158,2.97,61.98,1.99,0.72,1.39,106.04,12.56,4.47,7.11,1.32,2.4,39.49,1.95,12.64,110.97
CTRA,5.63,7.64,22.51,9.09,6.97,20.91,0.70317,0.5866,0.16460000000000002,0.455,-0.21300000000000002,1.65,11.58,2.46,,1.66,25.31,5.22,3.21,1.28,0.28,2.1,16.7,2.38,12.59,25.62
CVX,41.3,98.89,310.82,214.19,51.04,303.41,1.76,0.1681,,0.1408,-0.271,1.92,112.74,1.45,,,156.51,18.52,6.01,8.34,1.16,6.04,84.18,1.45,12.18,166.87
DVN,7.1,11.33,40.24,15.96,8.85,34.45,0.63671,0.3985,0.17079999999999998,0.2995,-0.397,3.14,24.71,2.1,1.81,0.98,49.6,9.17,3.85,0.58,2.34,4.51,17.19,1.82,8.84,57.16
EOG,13.52,20.13,76.21,28.43,15.7,77.06,0.58262,0.41869999999999996,0.1881,0.33030000000000004,-0.174,3.03,48.72,2.69,2.61,2.17,116.64,16.0,4.87,8.58,1.55,3.3,43.51,2.73,11.44,122.79
EQT,4.31,9.72,18.53,8.85,6.62,15.07,0.35897,0.5655,0.14250000000000002,0.401,-0.75,1.26,24.25,2.07,0.69,1.11,39.07,9.0,2.88,3.36,1.21,0.6,33.2,1.94,17.24,36.01
FANG,6.3,8.17,33.03,7.74,6.3,26.5,0.17832,0.6152000000000001,0.11660000000000001,0.44689999999999996,-0.27,1.7,43.34,4.03,,0.43,134.02,24.14,5.27,0.1,2.03,6.88,86.79,3.22,8.14,139.79
HAL,3.09,3.24,42.26,22.41,5.06,35.29,0.89465,0.1832,0.1103,0.10980000000000001,0.14300000000000002,4.06,24.79,1.89,1.26,2.14,33.95,2.71,9.44,2.34,2.18,0.64,9.68,1.59,12.94,35.18
HES,4.2,7.89,53.59,10.68,5.14,46.55,0.28399,0.295,0.0907,0.1383,-0.223,5.63,34.85,4.98,9.88,1.54,136.73,6.56,10.33,7.24,1.6,1.75,26.9,4.36,29.15,138.73
KMI,5.2,7.29,70.02,17.14,6.41,39.13,1.94,0.247,0.0382,0.14650000000000002,-0.32,1.28,7.63,4.08,3.21,0.49,17.04,1.11,10.84,0.23,0.93,1.13,13.72,2.3,15.06,17.58
MPC,14.94,26.57,74.34,157.52,20.36,57.25,0.39903,0.10880000000000001,0.1169,0.0809,-0.321,2.13,348.1,0.43,15.65,1.84,116.85,32.58,2.72,28.65,1.63,3.0,63.49,0.38,7.74,119.57
MRO,3.55,6.15,21.84,6.72,4.54,16.17,0.6133500000000001,0.3793,,0.3045,-0.306,1.42,10.55,2.97,,,23.82,4.14,3.94,,,0.4,18.0,2.36,10.38,25.87
OKE,3.66,4.48,42.44,21.46,4.18,29.82,0.44422000000000006,0.16519999999999999,0.09150000000000001,0.1109,-0.17,4.18,47.93,1.98,1.8,1.18,61.69,5.31,9.6,1.52,1.63,3.82,15.94,1.39,12.52,63.8
OXY,14.18,24.57,84.49,31.6,16.37,55.86,0.8819,0.2969,0.0806,0.2151,-0.37,2.73,34.79,2.38,,1.04,59.47,8.75,4.09,0.55,,0.72,23.16,1.76,14.88,62.98
PSX,10.05,20.06,62.96,154.72,11.65,51.44,0.44383,0.063,,0.0707,-0.278,1.7,330.48,0.37,,,98.92,26.18,3.33,15.65,1.37,4.2,65.92,0.32,8.47,101.16
PXD,9.58,13.26,57.5,20.39,10.11,52.52,0.23145,0.3649,0.1278,0.284,-0.349,2.4,86.39,2.52,0.78,0.73,208.98,28.27,4.92,0.98,1.45,23.2,94.36,2.45,11.06,220.96
SLB,5.12,5.16,92.02,31.19,6.73,81.87,1.42,0.16030000000000003,0.0713,0.12630000000000002,0.14300000000000002,4.4,21.93,2.95,1.25,1.33,50.75,2.73,12.87,2.25,1.82,1.0,13.09,2.66,18.87,51.19
TRGP,2.8,4.05,30.44,20.49,3.49,18.45,0.22257,0.11080000000000001,0.0827,0.07830000000000001,-0.08800000000000001,7.23,90.36,1.49,1.87,0.66,74.8,3.85,7.88,0.94,2.27,2.0,11.28,0.92,12.53,73.13
VLO,10.82,19.22,51.72,151.76,17.6,45.47,0.35126,0.09910000000000001,0.1503,0.0721,-0.344,1.76,406.32,0.33,,1.59,115.73,35.12,2.89,14.37,1.65,4.04,73.21,0.31,6.18,125.23
WMB,5.6,6.08,65.51,11.2,6.16,41.54,1.21,0.3688,0.0535,0.2371,-0.172,3.54,9.19,5.69,2.24,0.49,31.78,2.12,10.16,0.45,,1.79,9.57,3.62,19.96,31.48
XOM,67.77,133.72,438.77,367.98,83.74,426.8,4.0,0.1795,0.113,0.1406,-0.272,2.14,89.25,1.21,1.69,1.48,104.99,14.77,4.73,7.38,1.08,3.64,49.72,1.22,11.78,108.93
AEE,2.5,3.34,37.75,7.88,3.06,22.23,0.26121,0.2207,0.0286,0.1416,0.061,2.1,30.23,4.64,2.71,0.62,83.48,4.17,11.65,0.03,,2.52,40.74,2.71,19.42,85.37
AEP,4.18,8.41,87.44,19.47,6.81,43.29,0.51452,0.1916,0.024900000000000002,0.102,-0.057999999999999996,1.81,37.87,4.49,2.58,0.61,84.76,3.85,13.09,0.99,0.45,3.32,46.4,2.23,15.87,90.01
AES,2.88,2.55,37.47,13.0,3.46,14.06,0.66642,0.1852,0.04070000000000001,-0.0392,0.136,9.23,19.46,2.88,1.63,1.13,20.96,-0.77,18.04,3.38,0.94,0.66,2.28,1.08,12.32,24.45
ATO,3.27,1.81,23.95,4.41,1.61,17.49,0.13842,0.2328,0.029500000000000002,0.1902,-0.188,1.71,30.8,5.25,2.48,0.86,118.0,5.76,14.68,0.38,,2.96,71.98,3.76,18.73,114.45
AWK,1.63,2.2,39.58,4.05,2.16,28.12,0.19424000000000002,0.3661,0.033,0.2208,0.171,2.9,21.76,9.78,3.92,1.13,145.09,4.55,17.66,4.43,0.56,2.83,49.83,6.64,30.21,147.03
CMS,1.5,2.76,32.59,8.14,2.3,17.63,0.29017000000000004,0.1575,0.026099999999999998,0.0906,-0.19,2.55,28.05,4.0,2.59,0.95,59.9,2.33,12.82,1.33,0.36,1.95,23.73,2.16,19.38,60.52
CNP,3.31,3.57,35.64,9.27,2.75,18.61,0.6293500000000001,0.1759,0.027400000000000004,0.084,-0.035,1.94,14.71,3.85,2.53,0.88,29.37,1.26,12.09,1.18,0.88,0.76,15.17,2.01,19.76,29.45
D,4.67,7.92,91.77,18.15,8.41,43.72,0.8346100000000001,0.29059999999999997,0.032,0.0705,0.227,1.65,21.86,5.06,3.38,0.75,52.26,1.44,11.66,2.27,0.46,2.67,31.79,2.39,13.48,57.59
DTE,2.6,3.67,43.17,16.19,3.17,23.33,0.20462,0.1261,0.030299999999999997,0.0802,-0.455,2.23,80.35,2.67,2.99,0.89,111.32,5.65,11.65,0.15,0.6,3.81,50.83,1.41,18.05,112.42
DUK,5.62,13.08,149.55,28.58,12.4,71.02,0.7693200000000001,0.2343,0.0239,0.0874,0.038,1.5,37.12,5.15,2.73,0.77,91.3,4.88,11.72,0.71,0.43,4.04,61.35,2.44,16.39,96.2
ED,3.55,7.68,53.86,16.01,5.19,32.35,0.34608,0.19760000000000003,0.031200000000000002,0.15560000000000002,0.084,1.55,45.21,3.36,2.99,1.2,93.13,7.01,8.88,2.22,0.36,3.24,60.24,2.07,19.12,93.9
EIX,2.69,9.41,63.72,17.17,5.81,27.23,0.38275000000000003,0.1961,0.027200000000000002,0.055400000000000005,-0.011000000000000001,1.97,44.96,3.71,2.43,0.84,69.15,2.19,11.99,0.51,0.82,2.95,36.05,1.59,15.08,67.24
ES,,5.41,48.31,12.67,3.85,24.54,0.34808999999999996,0.20600000000000002,,0.0928,0.022000000000000002,1.56,36.34,3.81,2.56,,71.23,4.17,14.03,0.1,0.48,2.7,45.15,1.94,16.16,77.07
ETR,3.6,5.28,47.01,13.32,4.65,21.39,0.21045,0.2011,0.0285,0.1028,-0.162,1.64,63.85,3.39,1.77,0.8,99.92,5.48,11.42,5.65,,4.28,62.6,1.51,15.06,106.04
EVRG,1.9,2.63,25.99,5.93,2.29,13.67,0.22865000000000002,0.2147,0.027200000000000002,0.1303,0.06,1.44,25.8,4.38,3.11,0.52,59.1,3.39,11.4,0.12,0.5,2.45,41.31,2.31,16.31,60.46
EXC,3.39,8.11,82.51,19.89,6.36,41.24,0.9929600000000001,0.18480000000000002,0.024100000000000003,0.1066,0.13699999999999998,1.65,20.0,4.27,2.61,0.95,40.89,2.26,11.15,0.4,,1.44,25.22,2.13,17.57,41.08
FE,1.19,8.23,44.88,12.7,3.51,22.33,0.51393,0.15109999999999998,0.026000000000000002,0.0361,0.067,2.18,22.2,3.53,2.55,0.6,38.77,0.71,12.29,0.3,0.45,1.56,18.33,1.76,15.29,39.66
LNT,0.423,1.71,22.29,4.21,1.55,13.4,0.25087000000000004,0.2076,0.027999999999999997,0.1559,0.008,2.12,16.78,5.29,2.91,0.62,53.09,2.61,13.23,0.62,0.54,1.81,25.17,3.18,18.38,53.55
NEE,8.23,10.14,216.65,26.95,14.43,146.05,2.02,0.344,0.0362,0.3005,0.418,3.26,13.5,8.04,2.73,0.53,73.76,4.05,13.65,0.78,0.46,1.87,22.13,5.36,23.2,77.33
NI,1.69,2.26,24.37,5.85,2.05,11.35,0.41164999999999996,0.2137,0.03,0.12,-0.079,1.85,14.25,4.1,2.42,0.45,27.41,1.47,11.75,0.37,,1.0,14.71,2.05,17.51,27.28
NRG,-2.91,4.1,21.54,31.37,-1.01,8.71,0.22776,-0.0601,-0.0398,-0.059000000000000004,-0.022000000000000002,3.58,134.63,0.69,1.58,0.99,35.87,-7.82,-20.94,1.81,1.02,1.51,10.57,0.28,7.69,35.6
PCG,4.54,7.01,98.3,22.26,6.95,43.4,2.03,0.1318,0.015700000000000002,0.0873,0.034,1.83,11.15,4.42,1.52,0.96,17.25,0.89,14.42,0.38,1.13,,11.52,1.66,14.35,16.22
PEG,3.56,2.6,50.71,11.59,5.2,31.53,0.49819,0.33740000000000003,0.0493,0.2399,0.166,2.14,23.31,4.51,3.79,0.67,62.42,4.64,10.96,1.1,0.6,2.28,30.29,2.82,18.32,60.87
PNW,1.11,1.71,19.09,4.49,1.64,9.32,0.11288,0.1812,0.0222,0.1033,0.20600000000000002,1.54,39.61,4.26,3.82,1.01,81.4,4.08,11.6,0.06,0.46,3.46,53.41,2.08,20.28,76.94
PPL,1.66,2.89,34.27,8.54,2.76,20.14,0.7363200000000001,0.17250000000000001,0.025400000000000002,0.09,0.355,1.44,11.59,4.02,1.5,1.23,26.78,0.98,12.3,0.62,0.8,0.96,19.04,2.36,17.18,27.83
SO,5.55,10.82,137.22,29.11,10.34,77.72,1.09,0.2072,0.0286,0.1152,-0.025,2.55,26.91,4.71,3.8,0.69,70.86,3.08,13.19,0.97,0.5,2.76,28.0,2.66,19.8,69.06
SRE,1.52,4.58,76.17,17.18,5.19,46.33,0.31441,0.1819,0.025099999999999997,0.1452,0.7170000000000001,1.73,54.57,4.43,2.88,0.54,146.83,7.76,14.51,1.73,0.74,4.76,85.01,2.71,16.5,152.44
WEC,2.05,3.31,46.16,9.28,3.17,28.27,0.31481000000000003,0.2138,0.03,0.1457,-0.14,2.43,29.42,4.82,3.05,0.6,89.46,4.27,13.82,0.17,0.4,3.07,37.03,2.96,19.49,92.46
XEL,4.4,5.77,61.19,15.24,5.0,34.66,0.55075,0.1618,0.0255,0.11380000000000001,-0.11699999999999999,2.05,27.7,4.02,3.22,0.8,63.58,3.23,12.01,0.61,0.42,2.08,30.68,2.27,18.73,66.8
AMT,,7.45,134.31,,,89.15,,,,,,17.26,,12.3,2.55,,189.96,,24.43,,,,,8.18,43.29,203.26
ARE,1.55,1.81,31.77,2.75,1.64,21.12,0.17113,0.2462,0.0121,0.2065,0.109,1.12,16.42,11.65,,3.44,117.89,3.39,17.04,5.34,0.95,4.96,108.64,7.48,35.71,135.07
AVB,,1.69,34.65,,,26.68,,,,,,2.39,,13.05,3.36,,187.2,,16.62,,,,,9.91,40.32,174.99
BXP,,1.95,24.39,3.16,1.82,10.15,0.15646000000000002,0.32049999999999995,0.026099999999999998,0.2102,0.044000000000000004,1.67,20.18,7.73,4.12,4.49,57.03,4.99,11.07,10.08,1.16,3.92,38.51,3.22,23.2,62.26
CBRE,0.81255,6.62,29.84,30.86,1.71,25.72,0.30013,0.0349,0.032,0.027400000000000004,-0.006999999999999999,3.18,98.33,0.97,2.08,1.16,80.8,3.53,19.33,4.17,1.36,,26.68,0.86,19.34,78.01
CCI,3.27,4.92,75.18,7.15,4.23,46.94,0.43167,0.3558,0.04070000000000001,0.23870000000000002,0.077,6.66,16.51,10.51,3.87,0.5,112.78,3.93,17.78,0.64,0.64,6.26,16.24,6.57,29.33,128.49
CPT,0.76214,0.90581,15.3,1.51,0.87136,11.57,0.10555,0.1816,0.0193,0.4079,0.23500000000000001,2.35,13.9,10.27,,0.04,109.46,5.67,11.31,0.19,0.8,4.0,45.32,7.93,61.73,111.72
CSGP,0.5649,1.77,29.84,2.32,0.48931,33.94,0.40376,0.1568,0.0282,0.1656,0.13,4.78,5.77,12.86,3.6,12.3,85.0,0.87,60.98,12.75,0.9,,17.4,14.46,75.76,77.77
DLR,,2.66,56.68,5.11,2.32,36.92,0.29878,0.1308,0.010700000000000001,0.0837,0.24100000000000002,2.19,17.58,11.05,4.11,0.94,110.06,1.1,22.5,0.42,0.57,4.88,56.44,7.4,149.25,104.3
EQIX,3.01,2.97,89.67,7.19,2.6,75.3,0.09321,0.1131,0.0168,0.11220000000000001,0.278,6.26,77.51,11.91,4.16,2.02,771.76,8.78,28.98,25.04,,13.64,128.55,9.88,85.47,703.06
EQR,,1.75,32.68,,,24.92,,,,,,2.27,,11.6,3.16,,65.25,,16.28,,,,,9.11,44.44,62.6
ESS,0.95443,1.12,21.51,1.69,1.11,15.66,0.0637,0.33270000000000005,0.028300000000000002,0.3143,0.094,2.8,26.16,13.01,3.38,0.75,231.95,7.52,16.46,1.09,0.78,9.24,87.02,9.54,44.64,221.0
EXR,1.23,1.52,36.57,2.03,1.4,29.05,0.13356,0.547,0.061,0.42119999999999996,0.134,8.93,15.11,18.44,6.4,4.44,146.46,6.35,24.54,0.65,0.56,4.04,24.1,9.85,22.83,154.23
FRT,0.54852,0.73058,12.85,1.11,0.6871,8.25,0.08062000000000001,0.34520000000000006,0.0298,0.34850000000000003,0.052000000000000005,2.98,13.73,11.78,4.91,1.06,95.87,4.73,15.07,1.2,,4.32,33.62,7.53,38.91,100.39
HST,1.46,1.53,17.29,5.22,1.55,13.08,0.7027300000000001,0.1706,0.0463,0.154,0.29,1.91,7.31,3.32,1.42,3.25,17.28,1.12,10.28,0.79,1.31,0.6,9.64,2.53,21.01,17.17
INVH,1.07,1.35,28.99,2.33,1.33,21.64,0.60997,0.2887,0.0227,0.1881,0.079,2.11,3.81,12.4,5.99,4.19,34.53,0.68,20.64,0.89,0.9,1.04,16.75,9.26,50.51,32.44
IRM,1.0,2.91,31.35,5.17,1.75,18.02,0.28888,0.20800000000000002,0.04190000000000001,0.11199999999999999,0.053,33.03,17.76,6.06,,0.8,57.53,1.98,16.28,0.5,0.95,2.47,1.87,3.5,61.73,53.69
KIM,,1.2,18.9,,,12.5,,,,,,1.3,,10.75,6.04,,19.58,,16.11,,,,,7.1,34.97,20.23
MAA,1.15,1.23,21.52,2.11,1.24,17.27,0.11583,0.3249,0.0378,0.2828,0.081,2.79,18.23,10.18,,0.2,151.4,5.12,16.32,1.29,0.75,5.6,52.81,8.13,32.05,154.85
O,,3.11,60.12,,,40.92,,,,,,1.4,,17.27,7.52,,60.57,,19.06,,,,,10.98,45.25,62.67
PEAK,0.9223300000000001,1.19,18.53,2.12,1.06,11.87,0.5452100000000001,0.1677,0.0143,0.2511,0.053,1.82,3.9,8.76,,1.31,20.73,1.01,12.59,0.25,0.88,1.2,11.95,5.57,67.57,23.11
PLD,,4.78,142.39,,,114.73,,,,,,2.15,,18.44,0.65,,123.45,,22.58,,,,,14.55,53.19,120.26
PSA,3.24,3.19,59.67,4.45,3.24,49.11,0.15759,0.5273,0.0828,0.9615000000000001,0.061,8.62,25.37,13.87,6.42,1.28,288.57,23.53,11.05,3.71,,12.0,32.57,11.44,25.19,292.34
REG,0.67502,0.92515,15.13,1.28,0.82155,11.24,0.16904,0.4033,0.029900000000000003,0.29960000000000003,0.043,1.86,7.5,12.22,5.48,0.9,61.27,2.24,17.58,0.41,1.18,2.6,35.53,9.12,32.15,61.86
SBAC,1.42,1.94,39.43,2.72,1.75,24.72,0.107,0.3786,0.06230000000000001,0.18710000000000002,0.040999999999999995,,25.12,14.52,2.32,0.7,228.61,3.39,23.14,1.65,0.51,3.4,-46.99,9.17,44.64,260.59
SPG,3.8,4.29,65.97,5.35,3.88,41.02,0.32395,0.49119999999999997,0.0492,0.40490000000000004,0.042,13.85,16.33,12.34,15.89,0.47,114.69,6.61,14.28,3.53,1.55,7.4,9.06,7.68,22.42,115.01
UDR,0.8319700000000001,1.01,19.0,1.63,0.99281,13.34,0.32755,0.1898,0.0175,0.2748,0.157,3.27,4.97,11.91,,0.38,41.91,1.35,14.21,0.05,0.75,1.68,12.37,8.36,83.33,40.89
VICI,2.04,2.62,48.78,3.34,2.91,32.06,1.01,0.8702,0.045700000000000005,0.6414,0.325,1.35,3.4,14.79,,64.56,31.65,1.44,16.62,0.73,0.95,1.56,23.54,9.46,12.45,32.44
VTR,1.09,1.81,31.82,4.17,1.62,19.43,0.39835000000000004,0.1384,0.0148,-0.016399999999999998,0.055999999999999994,1.94,10.44,7.6,,0.42,46.62,-0.15,19.74,0.36,1.23,1.8,25.01,4.68,,45.89
WELL,1.4,2.3,57.13,6.18,2.35,42.99,0.51822,0.1518,0.015300000000000001,0.0191,0.16899999999999998,2.03,12.75,9.19,2.68,2.87,79.52,0.26,26.48,4.25,1.06,2.44,41.73,6.63,112.36,72.84
WY,,3.62,28.88,,,24.82,,,,,,2.45,,3.62,,,31.8,,18.74,,,,,3.13,35.34,31.28
ADM,5.05,7.57,53.96,99.88,5.16,45.56,0.53252,0.041299999999999996,0.043899999999999995,0.0415,-0.077,1.83,180.62,0.54,,1.63,76.87,7.5,8.22,2.66,0.82,1.8,46.53,0.47,12.12,82.96
BF-B,0.64,,36.72,4.23,1.31,34.18,0.35328,0.2916,0.10890000000000001,0.1852,0.05,10.39,8.82,8.68,3.37,3.51,65.97,1.63,30.93,0.78,0.7,0.82,6.83,8.05,34.6,65.87
BG,-0.62,3.92,19.8,63.8,3.37,16.33,0.15066,0.0464,0.0697,0.0309,-0.161,1.64,431.89,0.3,1.71,2.08,97.85,10.18,6.79,8.75,0.67,2.65,74.72,0.25,9.62,96.67
CAG,0.9954,,24.87,12.28,2.25,15.54,0.47422000000000003,0.1535,0.053,0.055700000000000006,0.022000000000000002,1.78,25.64,2.03,1.42,0.76,33.84,1.42,16.88,0.2,0.53,1.4,18.32,1.28,11.85,36.22
CHD,1.08,2.25,25.72,5.64,1.25,23.71,0.24541,0.18660000000000002,0.0776,0.0793,0.09699999999999999,6.06,23.12,4.56,3.98,1.4,96.42,1.67,29.17,1.61,0.47,1.09,15.9,4.22,31.06,86.77
CL,3.1,10.25,71.53,18.68,3.95,63.36,0.77706,0.18239999999999998,0.1333,0.0802,0.075,156.16,22.44,3.83,2.78,1.17,76.4,1.91,20.39,1.31,0.48,1.92,-0.08,3.42,24.51,75.93
CLX,,,21.54,7.39,1.08,18.76,0.12355,0.11539999999999999,,0.0202,0.121,6.25,59.79,3.0,1.6,,156.56,0.61,46.12,2.96,,4.8,1.78,2.61,28.09,152.43
COST,9.85,27.57,241.45,235.44,10.21,246.16,0.44199,0.0349,0.0787,0.0255,0.02,10.44,530.44,1.03,4.01,1.08,530.75,13.48,23.71,30.93,0.79,4.08,53.17,1.05,36.23,501.93
CPB,0.998,2.63,18.1,9.28,1.65,13.56,0.18878999999999999,0.1376,0.0667,0.08460000000000001,0.046,3.78,31.05,1.95,1.74,0.92,47.1,2.62,11.44,0.75,0.31,1.48,12.03,1.47,14.6,51.85
DG,1.73,11.82,54.62,38.44,4.08,36.95,0.2179,0.08650000000000001,0.0732,0.061900000000000004,0.068,6.22,172.49,1.42,1.75,1.32,171.1,10.6,13.4,1.43,0.28,2.36,27.06,0.98,16.75,216.33
DLTR,1.83,8.94,43.0,28.75,2.77,33.73,0.20831,0.0694,0.05480000000000001,0.0479,0.061,3.79,129.43,1.5,2.35,1.51,144.08,6.18,15.93,3.96,0.69,,40.33,1.19,25.06,147.52
EL,2.09,13.43,66.49,15.86,2.68,62.56,0.23043000000000002,0.1229,0.0553,0.0688,-0.11599999999999999,10.64,44.33,4.19,3.31,1.46,188.44,3.05,27.47,15.48,1.02,2.64,16.44,3.99,33.0,225.44
GIS,2.78,6.55,54.86,20.09,3.69,43.5,0.58304,0.15660000000000002,0.0629,0.1291,0.027999999999999997,4.16,33.78,2.73,2.22,0.69,79.21,4.31,13.44,1.2,0.21,2.36,17.81,2.22,16.34,81.74
HRL,0.96962,2.16,24.88,12.27,1.47,22.17,0.28769,0.0976,0.056600000000000004,0.0761,-0.038,2.88,22.45,2.03,2.95,2.42,40.1,1.7,16.0,1.1,0.19,1.1,14.07,1.82,22.57,42.84
HSY,2.26,4.5,51.98,10.86,2.81,47.15,0.14737,0.2225,0.1365,0.1649,0.05,12.76,52.96,4.79,3.97,1.06,250.4,8.25,20.14,2.18,0.28,4.77,18.07,4.35,24.33,243.17
K,1.6,4.62,29.73,15.7,1.94,22.69,0.33822,0.0936,0.0493,0.0533,0.10400000000000001,5.6,45.88,1.89,2.55,0.72,66.98,2.42,16.84,1.04,0.41,2.4,11.82,1.45,16.23,68.88
KDP,1.95,7.33,61.58,14.57,3.74,47.69,0.95248,0.2078,0.0366,0.11,0.066,1.89,10.34,4.23,3.46,0.39,31.85,0.93,19.41,0.2,0.57,0.8,18.09,3.33,19.16,34.75
KHC,3.26,8.23,63.31,27.1,6.28,44.03,0.8013300000000001,0.198,0.0367,0.1165,0.025,0.9,22.08,2.35,1.6,0.95,36.57,1.96,12.96,0.77,0.67,1.6,40.56,1.63,12.38,38.57
KMB,3.19,6.22,51.18,20.35,3.65,43.63,0.33744,0.1427,0.10220000000000001,0.08070000000000001,0.013999999999999999,87.25,60.26,2.52,2.52,0.87,135.36,4.85,17.38,1.72,0.41,4.72,1.48,2.15,21.32,133.11
KO,11.1,25.0,293.05,44.14,13.8,267.11,3.89,0.28600000000000003,0.08230000000000001,0.23809999999999998,0.057,10.27,10.21,6.64,3.36,1.14,60.97,2.27,19.15,3.63,0.54,1.84,6.02,6.08,23.75,61.32
KR,6.26,32.81,51.51,148.82,7.68,34.84,0.71162,0.0309,0.0579,0.0171,0.013000000000000001,3.19,207.64,0.35,1.7,0.77,47.1,3.48,6.87,3.67,0.48,1.16,15.19,0.24,10.76,46.66
LW,0.7617,,18.21,5.35,1.09,15.03,0.14467,0.16210000000000002,0.1017,0.1886,0.47000000000000003,10.65,37.03,3.4,0.91,1.56,111.49,6.95,16.49,2.09,0.52,1.12,4.97,2.8,21.64,100.42
MDLZ,3.91,11.36,121.38,34.13,6.79,101.15,1.36,0.16519999999999999,0.051100000000000007,0.1213,0.17,3.53,24.95,3.56,2.35,0.65,73.4,2.87,18.69,1.61,0.64,1.7,21.05,2.99,23.26,68.85
MKC,0.8913,2.27,28.36,6.52,1.17,23.62,0.26425,0.1517,0.0478,0.10740000000000001,0.08,4.79,24.29,4.35,3.18,0.85,88.65,2.59,23.08,0.47,0.58,1.56,18.4,3.65,29.59,82.67
MNST,1.31,3.17,57.35,6.49,1.73,60.41,0.75305,0.25730000000000003,0.1226,0.1995,0.11900000000000001,8.17,6.18,8.83,1.92,4.46,57.76,1.23,33.08,2.92,0.83,,7.07,9.45,38.31,53.04
MO,8.8,14.18,102.12,20.58,12.24,80.65,1.77,0.5834,0.2031,0.33130000000000004,0.042,,11.5,4.95,6.31,0.37,45.02,3.11,12.02,0.49,0.62,3.76,-2.15,3.93,9.03,45.61
NWL,0.455,2.86,10.11,8.55,0.752,4.47,0.41219,0.052000000000000005,0.0202,-0.0367,-0.13,1.35,20.66,1.18,,1.25,9.14,-0.32,83.55,0.76,0.98,0.28,8.0,0.52,12.24,12.2
PEP,10.95,46.05,294.34,90.14,15.39,257.17,1.37,0.14070000000000002,0.0839,0.0877,0.10400000000000001,14.54,65.43,3.27,3.19,0.84,185.44,5.72,21.09,4.69,0.54,4.83,12.84,2.87,25.38,181.37
PG,15.22,38.21,395.44,80.97,21.24,369.08,2.35,0.2286,0.09640000000000001,0.17690000000000003,0.053,7.84,34.06,4.82,4.33,0.59,149.2,5.76,18.12,3.5,0.41,3.76,18.8,4.73,24.51,146.22
PM,8.65,20.53,196.92,33.17,13.55,152.52,1.55,0.3704,0.1494,0.2426,0.145,,21.39,5.94,2.48,0.85,95.66,5.17,14.86,2.25,0.72,5.08,-6.25,4.6,15.67,97.21
SJM,1.19,,18.56,8.53,1.61,15.28,0.09869,0.1384,0.0475,-0.010700000000000001,0.099,2.1,80.31,2.18,4.39,1.44,149.58,-0.85,32.35,11.21,0.22,4.24,69.84,1.86,16.42,151.45
STZ,2.66,,61.66,9.6,3.27,49.5,0.16659000000000002,0.2989,0.0709,-0.0338,0.064,5.77,50.22,6.42,2.54,1.14,250.95,-1.47,67.46,1.05,1.04,3.56,46.85,5.38,22.78,235.41
SYY,2.87,,49.54,76.32,3.81,38.59,0.50407,0.039700000000000006,0.0844,0.0232,0.040999999999999995,24.5,150.43,0.66,1.26,1.24,73.32,3.02,14.68,1.48,1.11,2.0,3.98,0.52,17.06,77.07
TAP,1.73,3.66,20.66,11.18,1.96,14.4,0.19313999999999998,0.1142,0.029500000000000002,0.0037,0.11800000000000001,1.13,51.6,1.91,4.04,0.87,66.14,-1.2,26.68,4.44,0.88,1.64,60.27,1.33,14.56,56.68
TGT,6.68,26.89,78.89,109.27,6.64,61.38,0.46017,0.0362,0.048,0.024900000000000002,0.006,5.29,236.87,0.72,0.76,0.88,133.74,5.86,12.0,2.86,1.01,4.34,25.14,0.56,16.0,154.09
TSN,2.23,6.62,28.06,53.62,3.54,19.67,0.27870999999999996,0.0435,0.0401,0.0281,0.001,1.01,150.21,0.52,10.24,1.66,51.77,4.18,7.96,1.55,0.78,1.92,54.55,0.37,14.86,59.31
WMT,37.23,147.57,481.75,622.02,36.56,428.46,1.43,0.0409,0.06480000000000001,0.0182,0.076,5.92,229.61,0.77,3.56,0.82,154.25,4.16,15.93,3.93,0.5,2.28,26.88,0.7,25.64,147.29
