,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3
GEN,0.757,,21.42,3.34,1.57,12.35,0.58399,0.41130000000000005,0.075,0.40409999999999996,0.32299999999999995,5.61,5.44,6.42,0.8,0.43,18.38,2.16,13.96,1.17,1.08,0.5,3.44,3.61,9.51,19.75
GLW,1.89,4.84,35.8,13.32,2.78,28.78,0.76966,0.10470000000000002,0.029900000000000003,0.0472,-0.10300000000000001,2.52,15.77,2.69,1.52,1.65,33.44,0.74,13.79,1.8,1.06,1.12,13.92,2.17,17.86,33.58
GRMN,1.08,2.81,18.9,4.92,1.16,20.34,0.15259,0.201,0.0787,0.2023,0.064,3.18,25.63,3.91,1.91,2.84,105.35,5.0,16.26,8.78,,2.92,32.01,4.24,19.88,97.82
HPE,4.35,9.51,33.08,29.6,5.1,22.49,1.29,0.08630000000000002,0.0285,0.0346,0.039,1.1,22.76,1.12,1.26,0.87,16.46,0.79,8.24,1.53,1.27,0.48,15.77,0.77,7.97,15.58
HPQ,2.92,12.34,42.5,56.21,5.2,32.49,0.86253,0.0781,0.0719,0.0475,-0.217,,56.21,0.76,8.51,0.71,31.2,2.67,8.61,1.97,1.02,1.05,-2.52,0.59,9.14,29.34
IBM,12.28,32.69,174.58,60.52,12.98,130.57,0.9098700000000001,0.141,0.041100000000000005,0.0335,-0.004,5.88,66.75,2.88,2.33,1.06,134.57,2.36,22.62,17.89,0.85,6.64,24.37,2.17,15.11,134.59
INTC,9.76,26.87,174.72,54.04,8.78,149.93,4.18,-0.0444,-0.0084,-0.0171,-0.155,1.48,13.04,3.23,9.89,1.6,32.94,-0.7,19.65,5.79,0.89,0.5,24.12,2.75,99.01,29.81
INTU,4.54,10.46,145.34,14.07,3.77,142.41,0.27209,0.2212,0.0677,0.1591,0.069,8.1,49.98,10.33,1.94,1.51,460.06,7.9,37.02,15.24,1.2,3.12,62.77,10.24,31.45,423.36
IT,1.12,3.78,29.33,5.75,1.34,27.18,0.07629000000000001,0.20620000000000002,0.1063,0.1608,0.092,57.49,72.5,5.22,,0.87,348.89,11.57,19.48,14.98,1.25,,7.41,4.92,32.47,331.06
JKHY,0.41026,0.81427,12.86,2.03,0.5423,12.51,0.07237,0.22719999999999999,0.11789999999999999,0.1724,0.063,8.13,27.78,6.35,3.34,1.52,162.45,4.78,19.74,0.36,0.65,2.08,21.11,6.19,32.36,168.34
JNPR,0.7059,2.96,9.47,5.67,0.8412000000000001,9.0,0.31708,0.11230000000000001,0.04360000000000001,0.0727,0.126,2.07,17.6,1.67,1.19,1.66,30.28,1.52,12.29,3.84,0.93,0.88,13.7,1.62,12.15,30.99
KEYS,1.41,3.45,28.25,5.59,1.66,28.73,0.17735,0.25780000000000003,0.1094,0.2111,0.028999999999999998,6.11,31.4,5.05,1.87,3.35,164.0,6.58,16.58,14.01,1.05,,26.41,5.19,17.95,165.49
KLAC,,,73.21,10.5,4.41,70.56,0.1366,0.38060000000000005,0.1872,0.32270000000000004,-0.053,24.17,75.25,6.97,2.89,2.24,466.78,24.54,17.47,23.69,1.34,5.2,21.33,6.87,21.79,400.1
LDOS,0.914,2.08,18.91,14.84,1.5,13.71,0.13631000000000001,0.079,0.056600000000000004,0.0477,0.067,3.11,108.73,1.3,,1.25,86.75,4.88,13.45,2.39,0.79,1.44,33.56,0.94,15.15,94.58
LRCX,5.18,,95.06,17.43,5.64,95.43,0.13278,0.3038,0.184,0.2588,-0.308,11.62,128.65,5.45,2.63,3.16,631.61,35.96,17.1,40.32,1.47,6.9,61.59,5.58,26.39,513.78
MCHP,3.62,,57.18,8.44,4.11,50.81,0.53393,0.3688,0.11939999999999999,0.2652,0.21100000000000002,7.8,15.33,6.78,2.95,0.98,85.22,4.02,13.94,0.43,1.6,1.53,11.94,6.16,14.53,77.97
MPWR,,1.05,25.46,1.85,0.5840700000000001,26.2,0.04531,0.2953,0.1702,0.245,-0.043,14.25,39.2,13.78,2.42,6.51,522.36,9.65,47.99,19.75,1.14,4.0,38.63,14.47,44.64,446.78
MSFT,87.58,,2450.0,211.91,102.02,2500.0,7.42,0.4177,0.14250000000000002,0.34149999999999997,0.083,12.12,28.46,11.55,2.47,1.77,335.89,9.23,23.28,14.97,0.9,2.72,27.75,11.86,30.4,278.64
MSI,1.66,4.39,53.82,9.39,2.63,48.32,0.1671,0.23500000000000001,0.1149,0.1463,0.147,206.51,56.12,5.73,2.21,1.22,287.15,8.01,23.14,6.09,0.92,3.52,1.39,5.27,25.51,271.21
