Date,ALB,APD,CE,CF,CTVA,DD,DOW,ECL,EMN,FCX,FMC,IFF,LIN,LYB,MLM,MOS,NEM,NUE,PPG,ROP,SHW,STLD,VMC
2020-03-10,72.60386657714844,197.9832305908203,79.70799255371094,28.346933364868164,24.867738723754883,35.66572952270508,26.613094329833984,183.69583129882812,45.99430465698242,8.695269584655762,81.3985366821289,107.42513275146484,167.7235107421875,48.6005744934082,212.10812377929688,12.116724014282227,43.299903869628906,34.29399871826172,96.37623596191406,334.86285400390625,176.80030822753906,20.83909797668457,119.33956146240234
2020-03-11,67.65998077392578,191.72764587402344,74.54261016845703,26.14227867126465,23.994346618652344,34.29973220825195,23.72294807434082,179.58590698242188,42.23404312133789,7.845065116882324,77.9172592163086,100.8203353881836,165.54380798339844,43.93088150024414,201.5110321044922,10.995162010192871,41.18771743774414,32.72385025024414,91.64154815673828,316.7643127441406,168.42041015625,19.510709762573242,114.1099853515625
2020-03-12,62.90721893310547,173.2099609375,67.7046890258789,22.526264190673828,21.441347122192383,31.13734245300293,20.06153106689453,158.87252807617188,37.70039749145508,6.927232265472412,72.4707260131836,90.5462417602539,150.4095458984375,37.479549407958984,181.22430419921875,9.288849830627441,39.77362060546875,29.343402862548828,84.96003723144531,285.2437744140625,156.27798461914062,17.287506103515625,103.93215942382812
2020-03-13,66.03364562988281,190.3990020751953,72.45428466796875,25.533456802368164,23.821584701538086,34.711395263671875,21.773582458496094,173.31991577148438,41.81808853149414,7.275042533874512,82.39990234375,98.77276611328125,167.9995574951172,38.10596466064453,193.45101928710938,10.554205894470215,35.35234451293945,33.102542877197266,89.01431274414062,307.3816833496094,161.6821746826172,20.156455993652344,106.50331115722656
2020-03-16,57.24662780761719,166.4007568359375,61.10700988769531,22.138835906982422,19.905710220336914,32.04488754272461,18.646116256713867,160.31126403808594,36.1291618347168,6.028720378875732,66.45335388183594,91.95055389404297,150.7236785888672,28.392366409301758,167.2412109375,9.538086891174316,36.45318603515625,28.299715042114258,77.89105224609375,277.71417236328125,131.48475646972656,16.49416160583496,92.17284393310547
2020-03-17,65.11124420166016,189.23643493652344,65.08039855957031,22.277202606201172,21.758075714111328,33.69157409667969,22.54485321044922,163.57305908203125,36.81544876098633,6.260594367980957,64.23541259765625,99.18954467773438,155.98736572265625,33.940677642822266,168.48046875,9.269679069519043,40.990814208984375,28.62297821044922,78.08007049560547,303.33251953125,136.11830139160156,16.125164031982422,90.22264862060547
2020-03-18,66.64533233642578,185.97947692871094,54.62946319580078,19.50062370300293,20.70232391357422,29.995891571044922,22.40924072265625,151.05662536621094,34.87398910522461,5.130208492279053,55.981388092041016,98.22012329101562,149.9241180419922,33.005104064941406,146.19334411621094,6.7197980880737305,37.20498275756836,27.10824203491211,68.91307830810547,281.6456298828125,130.4453582763672,14.298628807067871,74.33012390136719
2020-03-19,60.1400260925293,176.26393127441406,58.98170852661133,21.197935104370117,22.324338912963867,29.62164306640625,23.8331298828125,153.99993896484375,37.24889373779297,5.545649528503418,63.17793655395508,97.32317352294922,146.59268188476562,35.16910934448242,164.16741943359375,7.879705905914307,37.35713195800781,28.46596336364746,72.35307312011719,294.1361389160156,144.12904357910156,17.075326919555664,87.53509521484375
2020-03-20,51.896751403808594,174.52011108398438,59.813350677490234,20.524547576904297,21.62370491027832,29.443870544433594,23.256792068481445,136.91888427734375,36.85157012939453,5.333099365234375,61.12846374511719,92.78408813476562,144.01321411132812,34.16846466064453,149.90135192871094,9.192989349365234,36.3010368347168,28.29047393798828,75.33942413330078,277.606201171875,133.63150024414062,17.352079391479492,82.130859375
2020-03-23,49.42085647583008,163.0607452392578,57.475521087646484,20.330833435058594,21.038240432739258,26.627668380737305,22.527902603149414,120.84142303466797,34.66630172729492,5.207500457763672,60.06160354614258,85.41825103759766,142.7758026123047,32.940025329589844,140.6313018798828,8.838306427001953,37.28553009033203,26.24927520751953,68.51615905761719,249.32110595703125,128.45077514648438,16.503381729125977,79.5791244506836
2020-03-24,54.40177536010742,179.3824920654297,61.827754974365234,23.633209228515625,21.43174934387207,30.370132446289062,24.129772186279297,147.62106323242188,37.54688262939453,6.753326416015625,64.31027221679688,91.46131134033203,156.87255859375,36.844993591308594,156.53671264648438,10.257039070129395,42.51231384277344,29.537364959716797,77.5414047241211,277.341552734375,147.01087951660156,19.25241470336914,82.89734649658203
2020-03-25,58.27582931518555,176.36541748046875,67.33506774902344,24.924638748168945,22.458707809448242,31.090559005737305,25.748592376708984,146.47267150878906,42.06189727783203,7.004523754119873,68.93328857421875,95.45020294189453,157.33897399902344,42.385154724121094,177.6626739501953,10.419999122619629,42.54811477661133,28.816938400268555,81.00028228759766,279.59649658203125,146.24668884277344,18.145421981811523,92.89082336425781
2020-03-26,58.70304870605469,185.7672576904297,69.79302215576172,26.059255599975586,23.168935775756836,33.635433197021484,25.155311584472656,156.03619384765625,43.299015045166016,6.753326416015625,75.06297302246094,104.55982208251953,165.80078125,43.873931884765625,190.20156860351562,10.27621078491211,43.21040344238281,30.97821044921875,84.8277359008789,300.3226623535156,150.93527221679688,19.003339767456055,99.177978515625
